,age,job,marital,education
0,30,unemployed,married,primary
1,33,services,married,secondary
2,35,management,single,tertiary
3,30,management,married,tertiary
4,59,blue-collar,married,secondary
5,35,management,single,tertiary
6,36,self-employed,married,tertiary
7,39,technician,married,secondary
8,41,entrepreneur,married,tertiary
9,43,services,married,primary
10,39,services,married,secondary
11,43,admin.,married,secondary
12,36,technician,married,tertiary
13,20,student,single,secondary
14,31,blue-collar,married,secondary
15,40,management,married,tertiary
16,56,technician,married,secondary
17,37,admin.,single,tertiary
18,25,blue-collar,single,primary
19,31,services,married,secondary
20,38,management,divorced,unknown
21,42,management,divorced,tertiary
22,44,services,single,secondary
23,44,entrepreneur,married,secondary
24,26,housemaid,married,tertiary
25,41,management,married,tertiary
26,55,blue-collar,married,primary
27,67,retired,married,unknown
28,56,self-employed,married,secondary
29,53,admin.,married,secondary
30,68,retired,divorced,secondary
31,31,technician,married,secondary
32,59,management,married,secondary
33,32,management,single,tertiary
34,49,technician,married,tertiary
35,42,admin.,divorced,secondary
36,78,retired,divorced,primary
37,32,blue-collar,married,secondary
38,33,management,married,secondary
39,23,services,single,tertiary
40,38,management,single,tertiary
41,36,management,single,tertiary
42,52,blue-collar,married,secondary
43,32,technician,married,tertiary
44,32,technician,single,tertiary
45,34,management,single,tertiary
46,55,blue-collar,married,primary
47,26,blue-collar,married,primary
48,32,entrepreneur,single,primary
49,61,admin.,married,unknown
50,45,blue-collar,divorced,primary
51,37,technician,single,secondary
52,38,technician,single,secondary
53,34,technician,married,tertiary
54,53,blue-collar,married,secondary
55,48,admin.,married,secondary
56,57,management,married,secondary
57,33,self-employed,single,tertiary
58,36,retired,single,secondary
59,54,technician,divorced,secondary
60,41,blue-collar,married,primary
61,63,retired,married,secondary
62,48,management,married,tertiary
63,48,services,married,secondary
64,56,admin.,married,secondary
65,51,blue-collar,divorced,secondary
66,31,services,married,secondary
67,29,technician,married,secondary
68,41,management,married,secondary
69,32,technician,single,tertiary
70,37,management,married,tertiary
71,42,entrepreneur,divorced,tertiary
72,31,management,single,tertiary
73,41,services,married,tertiary
74,56,retired,married,secondary
75,54,management,divorced,tertiary
76,41,blue-collar,divorced,secondary
77,40,technician,single,secondary
78,50,blue-collar,divorced,primary
79,40,unemployed,married,secondary
80,27,admin.,divorced,secondary
81,60,retired,married,primary
82,28,admin.,single,secondary
83,52,services,married,secondary
84,37,management,married,tertiary
85,51,blue-collar,married,primary
86,41,technician,single,secondary
87,35,blue-collar,single,primary
88,38,admin.,married,secondary
89,34,blue-collar,married,secondary
90,39,blue-collar,married,primary
91,34,blue-collar,married,primary
92,27,services,single,secondary
93,32,management,single,tertiary
94,57,blue-collar,married,secondary
95,41,unknown,single,tertiary
96,41,admin.,married,tertiary
97,30,admin.,single,tertiary
98,36,blue-collar,divorced,secondary
99,31,unemployed,single,primary
100,36,blue-collar,married,secondary
101,38,management,single,tertiary
102,49,technician,married,secondary
103,57,services,single,primary
104,34,management,single,secondary
105,32,management,single,tertiary
106,37,blue-collar,married,secondary
107,33,self-employed,married,tertiary
108,56,unemployed,married,primary
109,27,housemaid,married,primary
110,21,student,single,secondary
111,58,management,married,tertiary
112,32,self-employed,married,secondary
113,33,blue-collar,single,secondary
114,25,student,single,secondary
115,25,technician,single,secondary
116,30,services,married,secondary
117,22,admin.,single,secondary
118,39,blue-collar,married,primary
119,46,management,divorced,tertiary
120,31,admin.,divorced,secondary
121,45,blue-collar,married,primary
122,32,technician,married,secondary
123,36,blue-collar,married,secondary
124,51,management,single,tertiary
125,34,self-employed,single,tertiary
126,24,unemployed,single,secondary
127,45,technician,single,secondary
128,32,blue-collar,single,secondary
129,77,retired,divorced,tertiary
130,41,blue-collar,married,primary
131,37,blue-collar,married,primary
132,43,blue-collar,married,unknown
133,48,admin.,married,unknown
134,27,technician,single,secondary
135,33,management,single,tertiary
136,29,admin.,single,secondary
137,34,management,single,tertiary
138,52,management,married,tertiary
139,60,management,married,unknown
140,32,management,divorced,tertiary
141,32,management,single,tertiary
142,56,services,divorced,unknown
143,31,management,single,tertiary
144,42,admin.,married,secondary
145,35,management,married,tertiary
146,56,retired,married,primary
147,48,technician,married,secondary
148,46,admin.,married,secondary
149,37,technician,single,unknown
150,41,entrepreneur,married,unknown
151,36,management,single,tertiary
152,45,unemployed,divorced,primary
153,55,entrepreneur,married,secondary
154,39,technician,married,secondary
155,35,technician,divorced,secondary
156,55,admin.,married,secondary
157,55,technician,married,secondary
158,27,self-employed,single,secondary
159,34,technician,married,secondary
160,34,blue-collar,married,tertiary
161,25,admin.,single,secondary
162,41,admin.,single,secondary
163,43,services,married,secondary
164,28,management,single,tertiary
165,31,admin.,single,secondary
166,78,housemaid,married,secondary
167,45,blue-collar,divorced,secondary
168,48,technician,married,tertiary
169,32,blue-collar,single,secondary
170,42,technician,married,secondary
171,37,management,single,tertiary
172,40,admin.,single,secondary
173,32,admin.,married,secondary
174,42,management,married,tertiary
175,43,admin.,married,secondary
176,44,admin.,married,secondary
177,37,admin.,married,secondary
178,37,unknown,married,unknown
179,37,admin.,married,tertiary
180,28,technician,single,tertiary
181,32,services,single,secondary
182,34,admin.,single,secondary
183,40,admin.,divorced,secondary
184,34,services,married,secondary
185,34,self-employed,married,tertiary
186,34,admin.,married,tertiary
187,37,services,single,secondary
188,36,technician,married,secondary
189,56,retired,married,secondary
190,49,blue-collar,married,primary
191,33,self-employed,married,secondary
192,30,management,single,tertiary
193,36,services,married,secondary
194,23,student,single,secondary
195,57,retired,divorced,secondary
196,27,blue-collar,single,secondary
197,38,services,married,secondary
198,42,technician,married,tertiary
199,75,retired,married,secondary
200,34,technician,single,tertiary
201,48,technician,married,secondary
202,35,technician,single,tertiary
203,39,management,divorced,tertiary
204,29,blue-collar,single,tertiary
205,45,technician,single,tertiary
206,42,technician,married,secondary
207,29,technician,married,secondary
208,38,services,single,secondary
209,56,retired,married,secondary
210,36,technician,single,secondary
211,25,blue-collar,single,secondary
212,38,technician,married,tertiary
213,57,self-employed,married,secondary
214,31,management,married,tertiary
215,42,management,married,tertiary
216,45,technician,married,secondary
217,30,blue-collar,married,secondary
218,49,blue-collar,married,primary
219,49,services,married,secondary
220,53,retired,married,tertiary
221,37,technician,married,secondary
222,49,blue-collar,married,primary
223,41,self-employed,married,primary
224,54,management,married,primary
225,32,services,single,secondary
226,33,technician,married,secondary
227,33,technician,married,secondary
228,36,blue-collar,married,primary
229,35,technician,married,tertiary
230,52,unknown,married,secondary
231,40,entrepreneur,married,tertiary
232,44,technician,single,secondary
233,45,blue-collar,single,secondary
234,30,student,single,secondary
235,48,technician,divorced,secondary
236,33,blue-collar,married,secondary
237,57,technician,married,unknown
238,57,housemaid,married,primary
239,51,unemployed,married,tertiary
240,34,admin.,single,secondary
241,50,self-employed,married,tertiary
242,44,management,married,tertiary
243,27,admin.,married,secondary
244,50,blue-collar,married,secondary
245,36,management,married,tertiary
246,42,management,married,secondary
247,32,unemployed,single,secondary
248,42,management,married,tertiary
249,43,technician,married,secondary
250,31,management,married,tertiary
251,32,management,married,tertiary
252,55,blue-collar,divorced,primary
253,58,retired,married,primary
254,46,blue-collar,married,primary
255,55,blue-collar,married,secondary
256,34,management,married,tertiary
257,28,unemployed,single,secondary
258,42,technician,divorced,tertiary
259,29,blue-collar,single,secondary
260,54,housemaid,married,secondary
261,32,technician,single,secondary
262,39,technician,single,tertiary
263,53,entrepreneur,married,tertiary
264,58,technician,married,tertiary
265,40,self-employed,married,secondary
266,29,student,single,secondary
267,33,technician,married,tertiary
268,38,admin.,single,secondary
269,56,services,divorced,secondary
270,40,services,married,secondary
271,24,blue-collar,single,secondary
272,46,management,married,secondary
273,35,self-employed,married,secondary
274,35,blue-collar,single,tertiary
275,34,technician,married,secondary
276,35,housemaid,married,tertiary
277,38,technician,single,tertiary
278,50,blue-collar,married,primary
279,51,blue-collar,divorced,primary
280,59,self-employed,married,tertiary
281,32,blue-collar,married,secondary
282,37,blue-collar,single,secondary
283,42,admin.,divorced,secondary
284,40,student,married,secondary
285,28,technician,single,tertiary
286,47,admin.,married,secondary
287,27,self-employed,married,secondary
288,41,management,married,tertiary
289,34,admin.,married,tertiary
290,50,blue-collar,married,primary
291,47,blue-collar,married,secondary
292,53,services,married,secondary
293,53,technician,divorced,secondary
294,47,management,married,tertiary
295,49,entrepreneur,divorced,unknown
296,29,management,married,tertiary
297,45,blue-collar,divorced,primary
298,38,entrepreneur,married,secondary
299,32,blue-collar,married,secondary
300,70,retired,divorced,primary
301,65,retired,divorced,primary
302,56,blue-collar,married,secondary
303,35,blue-collar,married,secondary
304,56,management,married,unknown
305,56,technician,married,secondary
306,49,entrepreneur,married,secondary
307,38,unemployed,married,primary
308,35,management,married,tertiary
309,38,admin.,married,tertiary
310,49,blue-collar,married,secondary
311,55,management,married,unknown
312,43,blue-collar,single,primary
313,43,management,married,tertiary
314,25,admin.,single,tertiary
315,30,blue-collar,married,primary
316,46,blue-collar,married,secondary
317,50,admin.,married,primary
318,35,entrepreneur,married,secondary
319,26,unemployed,single,secondary
320,45,admin.,married,unknown
321,37,blue-collar,married,secondary
322,60,self-employed,single,tertiary
323,38,management,married,tertiary
324,47,blue-collar,married,primary
325,33,technician,married,secondary
326,51,unemployed,married,secondary
327,35,entrepreneur,single,tertiary
328,35,unemployed,married,secondary
329,48,admin.,single,secondary
330,37,admin.,married,secondary
331,29,technician,single,tertiary
332,34,admin.,married,secondary
333,32,services,married,primary
334,30,management,single,tertiary
335,47,management,divorced,tertiary
336,33,blue-collar,married,primary
337,33,management,single,tertiary
338,63,retired,married,primary
339,51,self-employed,divorced,primary
340,41,management,married,tertiary
341,56,retired,married,tertiary
342,60,management,single,tertiary
343,41,self-employed,single,tertiary
344,37,management,single,unknown
345,36,blue-collar,single,secondary
346,57,management,married,tertiary
347,55,management,married,primary
348,44,admin.,married,secondary
349,47,self-employed,married,tertiary
350,31,blue-collar,married,secondary
351,35,management,married,tertiary
352,39,management,married,tertiary
353,50,management,married,tertiary
